Company,2019 Experimental Licenses (50km)
"TICOM GEOMATICS, INC.",320
"Rockwell Collins, Inc.",116
L3 Technologies,109
"L3Harris Technologies, Inc.",100
TrellisWare Technologies,53
Oceus Networks,52
Intel Corporation,48
"Qualcomm Technologies, Inc",37
Northrop Grumman Systems Corporation,34
Raytheon Missile Systems,25
Space Exploration Technologies Corp. (SpaceX),24
"Qualcomm Technologies, Inc.",20
The Boeing Company,20
Qualcomm Technologies Incorporated,18
Raytheon SAS,16
ELTA North America,12
Space Exploration Technologies,11
BOOZ ALLEN HAMILTON,10
"Fenix Group, Inc.",8
General Atomics Aeronautical Systems,8
"Skeyeon, Inc.",8
ShawnTech Communications,7
"Thales Avionics, Inc.",7
American Tower Indoor DAS LLC,6
Cubic Defense Applications,6
General Atomics,6
Goodyear Tire & Rubber Company,6
CP Communications,5
"Fortem Technologies, Inc.",5
Broadcast Sports International,4
Cisco Systems,4
Cubic,4
Google LLC,4
Lockheed Martin Corporation,4
Qualcomm Technologies Inc.,4
"Swarm Technologies, Inc.",4
"Dexcom, Inc.",3
RF Film Inc,3
"Adeunis NA, Inc.",2
Alion Science and Technology,2
Echodyne Corp.,2
RF Film Inc.,2
San Diego Unified Port District,2
Space Explorations Technologies,2
"ARRIS Enterprises, Inc.",1
BNSF Railway Co.,1
BNSF Railway Company,1
"C Speed, LLC",1
"Caterpillar of Delaware, Inc.",1
"General Atomics Aeronautical Systems, Inc.",1
Raytheon IDS,1
Teledyne Scientific Company,1
Tyvak Nano-Satellite System,1
Tyvak Nano-Satellite Systems,1
University of Texas at El Paso,1
XCOM-Labs,1
,
